Question|Answer
What was the value of 'Impact on PBO/APBO at December 31, 2023' in 2024 according to the Statements of Operations / Income?|The value of 'Impact on PBO/APBO at December 31, 2023' in 2024 was 940 millions of dollars.
Find the value for 'Impact on PBO/APBO at December 31, 2023' in 2023 from the Statements of Operations / Income.|The value of 'Impact on PBO/APBO at December 31, 2023' in 2023 was 318 millions of dollars.
Could you provide the figure for 'Impact on PBO/APBO at December 31, 2023' in 2022 as reported in the Statements of Operations / Income?|The value of 'Impact on PBO/APBO at December 31, 2023' in 2022 was 40 millions of dollars.
How much did the 'Impact on PBO/APBO at December 31, 2023' change from 2023 to 2024 based on the Statements of Operations / Income?|The change in 'Impact on PBO/APBO at December 31, 2023' from 2023 to 2024 was 622 millions of dollars.
What was the difference in 'Impact on PBO/APBO at December 31, 2023' between 2022 and 2023 according to the Statements of Operations / Income?|The difference in 'Impact on PBO/APBO at December 31, 2023' between 2022 and 2023 was 278 millions of dollars.
What were the values for 'Impact on PBO/APBO at December 31, 2023' for the years 2024, 2023, and 2022 in the Statements of Operations / Income?|The values for 'Impact on PBO/APBO at December 31, 2023' for the years 2024, 2023, and 2022 were 940, 318, and 40 millions of dollars, respectively.
What was the value of 'Sales of products' in 2024 according to the Statements of Operations / Income?|The value of 'Sales of products' in 2024 was 13127 millions of dollars.
Find the value for 'Sales of products' in 2023 from the Statements of Operations / Income.|The value of 'Sales of products' in 2023 was 12044 millions of dollars.
Could you provide the figure for 'Sales of products' in 2022 as reported in the Statements of Operations / Income?|The value of 'Sales of products' in 2022 was 11165 millions of dollars.
How much did the 'Sales of products' change from 2023 to 2024 based on the Statements of Operations / Income?|The change in 'Sales of products' from 2023 to 2024 was 1083 millions of dollars.
What was the difference in 'Sales of products' between 2022 and 2023 according to the Statements of Operations / Income?|The difference in 'Sales of products' between 2022 and 2023 was 879 millions of dollars.
What were the values for 'Sales of products' for the years 2024, 2023, and 2022 in the Statements of Operations / Income?|The values for 'Sales of products' for the years 2024, 2023, and 2022 were 13127, 12044, and 11165 millions of dollars, respectively.
What was the value of 'Net income attributable to GE HealthCare common stockholders' in 2024 according to the Statements of Operations / Income?|The value of 'Net income attributable to GE HealthCare common stockholders' in 2024 was 1385 millions of dollars.
Find the value for 'Net income attributable to GE HealthCare common stockholders' in 2023 from the Statements of Operations / Income.|The value of 'Net income attributable to GE HealthCare common stockholders' in 2023 was 1916 millions of dollars.
Could you provide the figure for 'Net income attributable to GE HealthCare common stockholders' in 2022 as reported in the Statements of Operations / Income?|The value of 'Net income attributable to GE HealthCare common stockholders' in 2022 was 2247 millions of dollars.
How much did the 'Net income attributable to GE HealthCare common stockholders' change from 2023 to 2024 based on the Statements of Operations / Income?|The change in 'Net income attributable to GE HealthCare common stockholders' from 2023 to 2024 was -531 millions of dollars.
What was the difference in 'Net income attributable to GE HealthCare common stockholders' between 2022 and 2023 according to the Statements of Operations / Income?|The difference in 'Net income attributable to GE HealthCare common stockholders' between 2022 and 2023 was -331 millions of dollars.
What were the values for 'Net income attributable to GE HealthCare common stockholders' for the years 2024, 2023, and 2022 in the Statements of Operations / Income?|The values for 'Net income attributable to GE HealthCare common stockholders' for the years 2024, 2023, and 2022 were 1385, 1916, and 2247 millions of dollars, respectively.
What was the value of 'Net income attributable to GE HealthCare' in 2024 according to the Statements of Operations / Income?|The value of 'Net income attributable to GE HealthCare' in 2024 was 1568 millions of dollars.
Find the value for 'Net income attributable to GE HealthCare' in 2023 from the Statements of Operations / Income.|The value of 'Net income attributable to GE HealthCare' in 2023 was 1916 millions of dollars.
Could you provide the figure for 'Net income attributable to GE HealthCare' in 2022 as reported in the Statements of Operations / Income?|The value of 'Net income attributable to GE HealthCare' in 2022 was 2247 millions of dollars.
How much did the 'Net income attributable to GE HealthCare' change from 2023 to 2024 based on the Statements of Operations / Income?|The change in 'Net income attributable to GE HealthCare' from 2023 to 2024 was -348 millions of dollars.
What was the difference in 'Net income attributable to GE HealthCare' between 2022 and 2023 according to the Statements of Operations / Income?|The difference in 'Net income attributable to GE HealthCare' between 2022 and 2023 was -331 millions of dollars.
